poi_name,g_lat,g_lng,n_mapx,n_mapy,n_name,n_address,poi_type,search_region
Highline seongsu (하이라인),37.5389944,127.0499414,1270498827,375390219,하이라인 성수카페,서울특별시 성동구 성수동1가 272 2층 하이라인성수카페,cafe,성수동 카페
로우키 성수,37.5441954,127.0515838,1270515894,375442014,로우키,"서울특별시 성동구 성수동2가 302-16 1층, B1층",cafe,성수동 카페
어반누크 성수,37.5466861,127.0433202,1270433082,375467407,어반누크 성수,서울특별시 성동구 성수동1가 668-58 어반누크,cafe,성수동 카페
프렌즈앤야드 Friends&Yard,37.54242470000001,127.0597762,1270597731,375424908,프렌즈앤야드,서울특별시 성동구 성수동2가 273-13 B동 1층 125호,establishment,성수동 카페
미디엄스톤,37.5465252,127.0465314,1270465615,375465605,미디엄스톤 성수 뚝섬역점,"서울특별시 성동구 성수동1가 656-711 1층, 2층, 옥상 미디엄스톤",cafe,성수동 카페
파머스카페,37.5460053,127.0460921,1270460565,375459916,파머스카페,서울특별시 성동구 성수동1가 656-1083 1층,cafe,성수동 카페
라에비뉴,37.5465918,127.0538704,1270539961,375465728,라에비뉴 성수,서울특별시 성동구 성수동2가 289-27 1층 103호,cafe,성수동 카페
와이덴 성수,37.5475948,127.0544362,1270544794,375476245,와이덴 성수,서울특별시 성동구 성수동2가 289-211 1층 와이덴 성수,cafe,성수동 카페
성수동 대림창고 갤러리,37.5418384,127.0564636,1270563952,375417036,성수동대림창고갤러리,서울특별시 성동구 성수동2가 322-32,cafe,성수동 카페
본지르르 성수,37.5492935,127.0546554,1270546980,375493012,본지르르 성수,"서울특별시 성동구 성수동2가 299-21 B1, 1, 2층",cafe,성수동 카페
파케파케 성수,37.542302,127.0537711,1270538495,375422907,파케파케 성수,서울특별시 성동구 성수동2가 310-21 1층,cafe,성수동 카페
포어플랜,37.5482373,127.047502,1270475587,375482007,포어플랜,서울특별시 성동구 성수동1가 656-1068 1층,establishment,성수동 카페
따우전드 성수점,37.5446246,127.0503043,1270503166,375446403,따우전드 성수점,서울특별시 성동구 성수동2가 301-27 1층,cafe,성수동 카페
이페메라,37.5415864,127.0614547,1270615210,375414816,카페 이페메라 X 비스퀴테리 엠오 LCDC SEOUL,서울특별시 성동구 성수동2가 275-28 LCDC SEOUL A동 1층,cafe,성수동 카페
헨리스플랏 Henrys flat,37.5383311,127.0579354,1270579801,375383403,헨리스플랏,서울특별시 성동구 성수동2가 269-125,cafe,성수동 카페
스케줄성수,37.54446170000001,127.0554135,1270554511,375444452,스케줄 성수,서울특별시 성동구 성수동2가 315-71 2층,establishment,성수동 식당
사위식당 성수,37.5444119,127.0526329,1270526591,375444391,사위식당 성수점,서울특별시 성동구 성수동2가 302-8 블루스톤타워 지하 1층 B102호,establishment,성수동 식당
이태리국시 성수(ITALYGUKSI SEONGSU),37.5460471,127.0467101,1270466902,375459976,이태리국시 성수,서울특별시 성동구 성수동1가 656-1085 3층,establishment,성수동 식당
SZIMPATIKUS Restaurant Seongsu (심퍼티쿠시 성수점),37.5477995,127.0450789,1270451043,375476731,심퍼티쿠시 성수점,서울특별시 성동구 성수동1가 656-1731 3층 R5호,bar,성수동 식당
리타르단도(Ritardando),37.5390795,127.0544956,1270544881,375390907,리타르단도,서울특별시 성동구 성수동2가 339-29 B1 리타르단도,establishment,성수동 식당
탐광,37.5431748,127.0554194,1270554483,375432134,탐광,"서울특별시 성동구 성수동2가 315-24 1층,B1",establishment,성수동 식당
미도인 성수,37.5431987,127.0548443,1270548306,375432228,미도인 성수,서울특별시 성동구 성수동2가 315-34 1층,establishment,성수동 식당
난포 성수,37.5470208,127.0427327,1270426732,375470252,난포,서울특별시 성동구 성수동1가 668-79 지층,establishment,성수동 식당
희릿,37.5426033,127.0485903,1270484417,375426563,희릿,서울특별시 성동구 성수동1가 656-1661 1층,bar,성수동 식당
꿉당 성수점,37.5432243,127.057537,1270575635,375432305,꿉당 성수점,서울특별시 성동구 성수동2가 273-24 경협회관 104호,establishment,성수동 식당
백옥 성수,37.5410836,127.0563205,1270562928,375410455,백옥 성수,서울특별시 성동구 성수동2가 322-42 1층,establishment,성수동 식당
노이,37.5398161,127.0559919,1270560081,375398053,노이 성수점,서울특별시 성동구 성수동2가 328-74 1층 Noi 성수점,establishment,성수동 식당
바오서울 성수,37.5405405,127.061294,1270613223,375405739,바오서울 성수,서울특별시 성동구 성수동2가 275-14 1층 103호,establishment,성수동 식당
세스크멘슬,37.5410226,127.0563968,1270564380,375410221,세스크멘슬,서울특별시 성동구 성수동2가 322-20 1층,establishment,성수동 식당
팝업스토어,37.5423587,127.0577552,1270568259,375422673,온그리디언츠 이너글로우 VIP 라운지,서울특별시 성동구 성수동2가 317-16 LECT,establishment,성수동 팝업스토어
마플샵 팝업스토어,37.5447534,127.049521,1270494336,375448620,마플샵 팝업스토어,서울특별시 성동구 성수동1가 16-8 1층,establishment,성수동 팝업스토어
XYZ SEOUL,37.5420716,127.0576498,1270575865,375420480,XYZ SEOUL,서울특별시 성동구 성수동2가 273-26,establishment,성수동 팝업스토어
팝업스토어,37.541194,127.0602544,1270568259,375422673,온그리디언츠 이너글로우 VIP 라운지,서울특별시 성동구 성수동2가 317-16 LECT,establishment,성수동 팝업스토어
아도르 성수,37.5440178,127.0589915,1270589935,375440162,아도르 성수,서울특별시 성동구 성수동2가 277-56 아도르 성수,establishment,성수동 팝업스토어
무신사 테라스 성수,37.5444502,127.0553861,1270555009,375444741,무신사 with 소담상회,서울특별시 성동구 성수동2가 315-71 3층,clothing_store,성수동 팝업스토어
ICC 성수 서울숲 팝업 스토어 장소 대관,37.5469714,127.0400323,1270400015,375470127,ICC성수서울숲팝업,서울특별시 성동구 성수동1가 685-508,establishment,성수동 팝업스토어
포인트 오브 뷰,37.5434188,127.051374,1270513815,375435123,POINT of VIEW SEOUL,"서울특별시 성동구 성수동1가 16-39 1,2,3층",establishment,성수동 팝업스토어
NOT4NERD Seongsu Flagship Store(낫포너드 성수 플래그십 스토어),37.5432554,127.0586229,1270586336,375432516,낫포너드 성수 플래그십 스토어,서울특별시 성동구 성수동2가 273-51 1층,clothing_store,성수동 팝업스토어
EQL SEONGSU GROVE,37.542928,127.0588309,1270589179,375428620,EQL 성수점,서울특별시 성동구 성수동2가 273-13 이큐엘 성수점,clothing_store,성수동 팝업스토어
모나미스토어 성수점,37.5444502,127.0553861,1270552949,375445701,모나미스토어 성수점,서울특별시 성동구 성수동2가 315-71 1층,establishment,성수동 팝업스토어
STAND OIL Flagship Store,37.5437096,127.0574581,1270574310,375436538,스탠드오일 성수 플래그십 스토어,서울특별시 성동구 성수동2가 317-2,establishment,성수동 팝업스토어
EPT 성수점,37.5411808,127.0611888,1270613290,375411275,EPT 성수점,서울특별시 성동구 성수동2가 275-76 1층,establishment,성수동 팝업스토어
포셋 성수,37.5478189,127.0413106,1270413198,375478499,포셋 성수,서울특별시 성동구 성수동1가 676-9 현대아파트 상가 2층,establishment,성수동 팝업스토어
카페&펍 연무장,37.5429081,127.0533107,1270532740,375429263,카페&amp;펍 연무장,"서울특별시 성동구 성수동2가 310-63 연무장 8층, 카페&펍 연무장",cafe,연무장길 카페
로우키 성수,37.5441954,127.0515838,1270515894,375442014,로우키,"서울특별시 성동구 성수동2가 302-16 1층, B1층",cafe,연무장길 카페
카페데이지크(dasique,37.5436043,127.0524371,1270524430,375436330,카페데이지크,서울특별시 성동구 성수동2가 316-6 2층,cafe,연무장길 카페
RSG 성수,37.5425871,127.0599986,1270599206,375424770,RSG 성수,서울특별시 성동구 성수동2가 273-13 C동 110호,cafe,연무장길 카페
성수동 대림창고 갤러리,37.5418384,127.0564636,1270563952,375417036,성수동대림창고갤러리,서울특별시 성동구 성수동2가 322-32,cafe,연무장길 카페
Frolla,37.5412734,127.0609456,1270610122,375411749,프롤라,서울특별시 성동구 성수동2가 272-35 1층,cafe,연무장길 카페
Highline seongsu (하이라인),37.5389944,127.0499414,1270498827,375390219,하이라인 성수카페,서울특별시 성동구 성수동1가 272 2층 하이라인성수카페,cafe,연무장길 카페
파케파케 성수,37.542302,127.0537711,1270538495,375422907,파케파케 성수,서울특별시 성동구 성수동2가 310-21 1층,cafe,연무장길 카페
옹근달카페,37.5426793,127.0529857,1270529990,375427194,옹근달 성수점,서울특별시 성동구 성수동2가 333-52 옹근달 성수점,cafe,연무장길 카페
업사이드커피,37.5419619,127.0579137,1270580088,375419719,업사이드커피,서울특별시 성동구 성수동2가 273-47 1층 업사이드,cafe,연무장길 카페
테니,37.5411799,127.0593105,1270591919,375410955,테니,서울특별시 성동구 성수동2가 271-7 1층,cafe,연무장길 카페
클래식 해례커피,37.5428026,127.0522781,1270523680,375428124,클래식 해례커피,서울특별시 성동구 성수동2가 310-62 1층,cafe,연무장길 카페
천상가옥,37.5415624,127.0571205,1270568620,375416600,천상가옥,서울특별시 성동구 성수동2가 322-4 A동 3층,cafe,연무장길 카페
레이더,37.5435964,127.054027,1270540539,375436442,레이더 성수,서울특별시 성동구 성수동2가 316-37 레이더,cafe,연무장길 카페
엘레멘츠 성수,37.5417204,127.0566811,1270567377,375417933,엘레멘츠,서울특별시 성동구 성수동2가 322-21,cafe,연무장길 카페
도렐 성수점,37.5436759,127.0545425,1270545305,375436381,도렐 성수점,서울특별시 성동구 성수동2가 314-12 1층 도렐 성수점,cafe,연무장길 카페
마를리,37.5428169,127.054796,1270547473,375428033,마를리,서울특별시 성동구 성수동2가 315-55 1층,cafe,연무장길 카페
베통,37.54294470000001,127.0552259,1270552214,375429356,베통 성수,서울특별시 성동구 성수동2가 315-47 베통 성수,bakery,연무장길 카페
미디엄스톤,37.5465252,127.0465314,1270465615,375465605,미디엄스톤 성수 뚝섬역점,"서울특별시 성동구 성수동1가 656-711 1층, 2층, 옥상 미디엄스톤",cafe,뚝섬역 카페
파머스카페,37.5460053,127.0460921,1270460565,375459916,파머스카페,서울특별시 성동구 성수동1가 656-1083 1층,cafe,뚝섬역 카페
포어플랜,37.5482373,127.047502,1270475587,375482007,포어플랜,서울특별시 성동구 성수동1가 656-1068 1층,establishment,뚝섬역 카페
5TO7,37.5460839,127.043323,1270432656,375461191,5to7 성수본점,서울특별시 성동구 성수동1가 668-136 1층,cafe,뚝섬역 카페
로우커피스탠드,37.5471333,127.0466301,1270466518,375471789,로우커피스탠드,서울특별시 성동구 성수동1가 8-16 1층,cafe,뚝섬역 카페
어반누크 성수,37.5466861,127.0433202,1270433082,375467407,어반누크 성수,서울특별시 성동구 성수동1가 668-58 어반누크,cafe,뚝섬역 카페
로우키 성수,37.5441954,127.0515838,1270515894,375442014,로우키,"서울특별시 성동구 성수동2가 302-16 1층, B1층",cafe,뚝섬역 카페
오우도,37.5454262,127.0494961,1270497496,375453825,오우도,서울특별시 성동구 성수동1가 16-4 106호,cafe,뚝섬역 카페
라바트리 서울숲 - LAVATREE SEOUL FOREST,37.5478073,127.0448057,1270449060,375478195,라바트리 서울숲,서울특별시 성동구 성수동1가 656-1731 5층,bar,뚝섬역 카페
미니멈커피,37.5463174,127.0490737,1270490124,375463229,미니멈커피,서울특별시 성동구 성수동1가 14-35 1층,cafe,뚝섬역 카페
따우전드 성수점,37.5446246,127.0503043,1270503166,375446403,따우전드 성수점,서울특별시 성동구 성수동2가 301-27 1층,cafe,뚝섬역 카페
오버도즈 도넛앤커피 (OVDZ DONUT),37.5465581,127.046834,1270466348,375466253,오버도즈도넛앤커피 성수,서울특별시 성동구 성수동1가 656-688 1층,bakery,뚝섬역 카페
이리데센트,37.5471452,127.0431783,1270431758,375471519,이리데센트,서울특별시 성동구 성수동1가 668-63 1층,cafe,뚝섬역 카페
구욱희씨,37.5470443,127.0419176,1270419052,375470959,구욱희씨 서울숲 본점,서울특별시 성동구 성수동1가 685-271,bakery,뚝섬역 카페
체다앤올리,37.54578180000001,127.0424604,1270417964,375457808,체다앤올리,서울특별시 성동구 성수동1가 685-696 갤러리아포레 상가 102동 113호,cafe,뚝섬역 카페
파이프그라운드 서울숲,37.5443796,127.0438576,1270442670,375438634,파이프그라운드 서울숲점,"서울특별시 성동구 성수동1가 685-700 지하1층 B124호, B125호",cafe,서울숲역 맛집
연남토마 성수,37.5470052,127.0423617,1270423214,375470113,연남토마 성수점,서울특별시 성동구 성수동1가 668-94,establishment,서울숲역 맛집
할머니의 레시피,37.546133,127.0431495,1270430745,375461687,할머니의 레시피,서울특별시 성동구 성수동1가 668-108,establishment,서울숲역 맛집
부우이 성수,37.5469061,127.0401915,1270401831,375469302,부우이 성수,서울특별시 성동구 성수동1가 685-463 2층,establishment,서울숲역 맛집
서울로인 서울숲점,37.5457822,127.0424788,1270419700,375457802,서울로인 서울숲점,서울특별시 성동구 성수동1가 685-696 갤러리아포레상가 102동 2층 203-2호,establishment,서울숲역 맛집
벨라스가든 서울숲점,37.5431788,127.0449642,1270449826,375432240,벨라스가든 성수서울숲맛집,서울특별시 성동구 성수동1가 656-462 1층,establishment,서울숲역 맛집
최가네샤브버섯칼국수 성수직영점,37.5475639,127.0428104,1270428418,375476017,최가네샤브버섯칼국수 성수직영점,서울특별시 성동구 성수동1가 668-99 1층,establishment,서울숲역 맛집
갓잇 서울숲점,37.5470152,127.0458323,1270458355,375469975,갓잇 서울숲점,서울특별시 성동구 성수동1가 656-402 1층 갓잇 서울숲점,establishment,서울숲역 맛집
희릿,37.5426033,127.0485903,1270484417,375426563,희릿,서울특별시 성동구 성수동1가 656-1661 1층,bar,서울숲역 맛집
스시도쿠 더 성수,37.5476275,127.0430461,1270430489,375477014,스시도쿠 더성수,서울특별시 성동구 성수동1가 668-5 1층 스시도쿠 더성수,establishment,서울숲역 맛집
온량,37.5468691,127.0434697,1270434205,375469442,온량,서울특별시 성동구 성수동1가 668-54 1층,establishment,서울숲역 맛집
버섯집,37.5466489,127.0440995,1270440960,375466977,버섯집,서울특별시 성동구 성수동1가 668-34 1층,establishment,서울숲역 맛집
미테이블 성수본점,37.5465226,127.045351,1270453861,375465287,미테이블 서울숲성수본점,서울특별시 성동구 성수동1가 656-385 대영빌딩,establishment,서울숲역 맛집
성수옥서울숲점,37.542575,127.0519572,1270518658,375425050,성수옥 서울숲점,서울특별시 성동구 성수동2가 308-4 1층 106호,establishment,서울숲역 맛집
소랑호젠,37.5426627,127.0451987,1270452545,375425695,소랑호젠 성수,서울특별시 성동구 성수동1가 656-3 1층 110호,establishment,서울숲역 맛집
쎄콩데 LIVE,37.5465526,127.0422814,1270423074,375465660,쎄콩데live,서울특별시 성동구 성수동1가 668-110 2층,bar,서울숲역 맛집
차만다 성수,37.5465544,127.0414424,1270414709,375466225,차만다 성수,서울특별시 성동구 성수동1가 685-480 1.5 층 차만다,establishment,서울숲역 맛집
